prop_price,prop_title,prop_location,prop_size
"125,600 OMR",LIMITED EDITION: Corner 1+1 BHK with Horizon Sea view and Golf view. FREEHOLD FOR ALL NATIONALITIES,"Muscat, Muscat Hills",LIMITED EDITION: Corner 1+1 BHK with Horizon Sea view and Golf view. FREEHOLD FOR ALL NATIONALITIES
"40,000 OMR",300 m2 5 Bedrooms Townhouse for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",300 m2 5 Bedrooms Townhouse for Sale in Buraimi Al Buraimi
"78,500 OMR",Elegant Living -Golf Hills -Compact 1 BHKs with Horizon Sea View & Courtyard View. FREEHOLD FOR ALL,"Muscat, Muscat Hills",Elegant Living -Golf Hills -Compact 1 BHKs with Horizon Sea View & Courtyard View. FREEHOLD FOR ALL
"65,000 OMR",2 Bedrooms Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",2 Bedrooms Farms for Sale in Al Batinah Barka
"25,000 OMR",3 Bedrooms Farms for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",3 Bedrooms Farms for Sale in Al Batinah Suwaiq
"60,000 OMR",500 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",500 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Sumail
"195,000 OMR",157 m2 3 Bedrooms Townhouse for Sale in Muscat Al Mouj,"Muscat, Al Mouj",157 m2 3 Bedrooms Townhouse for Sale in Muscat Al Mouj
"128,000 OMR",New project ا Apartment for seal ا freeholdHoвый пpoeкт ا Apartment для Seal ا Freehold,"Muscat, Al Mouj",New project ا Apartment for seal ا freeholdHoвый пpoeкт ا Apartment для Seal ا Freehold
"8,000,000 OMR",بزرگترین مرکز تجاری مسقط /اقساط بلند مدت / تجارت پایدار / اقامت طلایی,"Muscat, Al Mouj",بزرگترین مرکز تجاری مسقط /اقساط بلند مدت / تجارت پایدار / اقامت طلایی
"20,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"149,100 OMR",Luxury sea view ITCFreehold two bedrooms apartment in Almouj Muscat installment payment off plan,"Muscat, Al Mouj",Luxury sea view ITCFreehold two bedrooms apartment in Almouj Muscat installment payment off plan
"13,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"65,000 OMR",Farm Land for Sale in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",Farm Land for Sale in Al Sharqiya Al Mudaibi
"270,000 OMR",Building for Sale in Dhofar Salala,"Dhofar, Salala",Building for Sale in Dhofar Salala
"42,000 OMR",250 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Sur,"Al Sharqiya, Sur",250 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Sur
"18,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"7,400 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"125,000 OMR",5 Bedrooms Farms for Sale in Al Batinah Wadi Al Ma'awal,"Al Batinah, Wadi Al Ma'awal",5 Bedrooms Farms for Sale in Al Batinah Wadi Al Ma'awal
"11,000 OMR",Residential Land for Sale in Al Sharqiya Bidiya,"Al Sharqiya, Bidiya",Residential Land for Sale in Al Sharqiya Bidiya
"2,500 OMR",ورشة الامنيوم للبيع,"Al Sharqiya, Al Mudaibi",ورشة الامنيوم للبيع
"130,000 OMR",مصنعان جاهزان,"Al Dakhiliya, Sumail",مصنعان جاهزان
"32,500 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"32,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"20,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"20,500 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"62,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"20,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"5,800 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"5,000 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"7,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"88,000 OMR",Mixed Use Land for Sale in Muscat Misfah,"Muscat, Misfah",Mixed Use Land for Sale in Muscat Misfah
"59,000 OMR",245 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",245 m2 4 Bedrooms Villa for Sale in Al Batinah Barka
"20,000 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"95,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"13,200 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"130,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"5,500 OMR",Pakistani Restaurant running for sale,"Al Dakhiliya, Hamra",Pakistani Restaurant running for sale
"160,000 OMR",Mixed Use Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Mixed Use Land for Sale in Al Batinah Barka
"4,000 OMR",For sale للبيعالمهنة,"Muscat, Azaiba",For sale للبيعالمهنة
"7,900 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"8,000 OMR",Commercial Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Commercial Land for Sale in Al Batinah Saham
"14,000 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"66,000 OMR",448 m2 5 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",448 m2 5 Bedrooms Apartments for Sale in Muscat Al Maabilah
"7,000 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"43,500 OMR",Farm Land for Sale in Al Dakhiliya Other,"Al Dakhiliya, Other",Farm Land for Sale in Al Dakhiliya Other
"5,000,000 OMR",Commercial Land for Sale in Muscat Ghala,"Muscat, Ghala",Commercial Land for Sale in Muscat Ghala
"11,300 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"25,500 OMR",97 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",97 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud
"29,000 OMR",69 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",69 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"260,000 OMR",Commercial Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Commercial Land for Sale in Al Batinah Sohar
"62,000 OMR",301 m2 5 Bedrooms Townhouse for Sale in Al Batinah Sohar,"Al Batinah, Sohar",301 m2 5 Bedrooms Townhouse for Sale in Al Batinah Sohar
"3,500 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"5,500 OMR",Residential Land for Sale in Al Batinah Other,"Al Batinah, Other",Residential Land for Sale in Al Batinah Other
"11,000 OMR",Farm Land for Sale in Al Sharqiya Dima and Al Taaiyin,"Al Sharqiya, Dima and Al Taaiyin",Farm Land for Sale in Al Sharqiya Dima and Al Taaiyin
"145,000 OMR",350 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",350 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh
"27,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"25,900 OMR",140 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",140 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah
"56,000 OMR",267 m2 4 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",267 m2 4 Bedrooms Villa for Sale in Muscat Amerat
"5,000 OMR",Shop for sale in muscat seeb,"Muscat, Seeb",Shop for sale in muscat seeb
"10,600 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"10,600 OMR",Residential Land for Sale in Al Batinah Al 'Awabi,"Al Batinah, Al 'Awabi",Residential Land for Sale in Al Batinah Al 'Awabi
"44,500 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"32,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"40,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"10,000 OMR",محل للبيع منتجات وماركات عالمية,"Muscat, Al Khoud",محل للبيع منتجات وماركات عالمية
"12,500 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"10,600 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"5,000 OMR",grilled seafood restaurant at south Al mawaleh muscat oman,"Muscat, Al Mawaleh",grilled seafood restaurant at south Al mawaleh muscat oman
"1,700 OMR",فود تراك ،عربه ، كرفان للبيع,"Muscat, Al Khoud",فود تراك ،عربه ، كرفان للبيع
"47,000 OMR",105 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"Muscat, Ghala",105 m2 1 Bedroom Apartments for Sale in Muscat Ghala
"100,000 OMR",Farm Land for Sale in Muscat Seeb,"Muscat, Seeb",Farm Land for Sale in Muscat Seeb
"90,000 OMR",400 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",400 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"88,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"115,000 OMR",Commercial Land for Sale in Muscat Seeb,"Muscat, Seeb",Commercial Land for Sale in Muscat Seeb
"65,000 OMR",قابل لتفاوض  سوبر ماركت جاهز للعمل للبيع – موقع تجاري مميز مجهز حديثا سبب  البيع السفر,"Muscat, Al Khoud",قابل لتفاوض  سوبر ماركت جاهز للعمل للبيع – موقع تجاري مميز مجهز حديثا سبب  البيع السفر
"70,000 OMR",277 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",277 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah
"80,000 OMR",Commercial Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Commercial Land for Sale in Muscat Al Khuwair
"64,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"44,900 OMR",120 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",120 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"22,000 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"44,900 OMR",120 m2 3 Bedrooms Apartments for Sale in Muscat Ghubrah,"Muscat, Ghubrah",120 m2 3 Bedrooms Apartments for Sale in Muscat Ghubrah
"92,000 OMR",Residential Land for Sale in Muscat Other,"Muscat, Other",Residential Land for Sale in Muscat Other
"43,900 OMR",107 m2 2 Bedrooms Apartments for Sale in Muscat Seeb,"Muscat, Seeb",107 m2 2 Bedrooms Apartments for Sale in Muscat Seeb
"44,900 OMR",120 m2 3 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",120 m2 3 Bedrooms Apartments for Sale in Muscat Azaiba
"22,000 OMR",ابحث عن شقة في طابق الأول بسعر أقل عن 22الف جاد,"Muscat, Al Khoud",ابحث عن شقة في طابق الأول بسعر أقل عن 22الف جاد
"37,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"10,950 OMR",Tornado Restaurant With Running Sales. AL Waadi Near Oman Oil & McDonald's,"Dhofar, Salala",Tornado Restaurant With Running Sales. AL Waadi Near Oman Oil & McDonald's
"14,900 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"36,000 OMR",1 Bedroom Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",1 Bedroom Farms for Sale in Al Batinah Barka
"260,000 OMR",luxury apartment for sale ا full marina view ا freehold  ا Al mouj muscat,"Muscat, Al Mouj",luxury apartment for sale ا full marina view ا freehold  ا Al mouj muscat
"133,500 OMR",83 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",83 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"133,500 OMR",Инвecтиции в нeдвижимocть ا Kyпить квapтиpy c видoм нa гoльф и пpeдпpoдaжa,"Muscat, Al Mouj",Инвecтиции в нeдвижимocть ا Kyпить квapтиpy c видoм нa гoльф и пpeдпpoдaжa
"43,900 OMR",107 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",107 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair
"260,000 OMR",139 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",139 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"137,500 OMR",104 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",104 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"137,500 OMR",Apartment  with  sea view ا freehold ا Al mouj muscat Kвapтиpa c видoм нa мope ا freehold ا Al mouj,"Muscat, Al Mouj",Apartment  with  sea view ا freehold ا Al mouj muscat Kвapтиpa c видoм нa мope ا freehold ا Al mouj
"135,000 OMR",150 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",150 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"43,900 OMR",107 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",107 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud
"480,000 OMR",Luxury villa ا lack view ا modern design ا lifelong residence ا freehold,"Muscat, Al Mouj",Luxury villa ا lack view ا modern design ا lifelong residence ا freehold
"43,900 OMR",107 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail,"Muscat, Al-Hail",107 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail
"95,000 OMR",Apartment for sale ا sea view  ا freehold  Kвapтиpa нa пpoдaжy ا вид нa мope ا фpигoльд,"Muscat, Al Mouj",Apartment for sale ا sea view  ا freehold  Kвapтиpa нa пpoдaжy ا вид нa мope ا фpигoльд
"25,000 OMR",61 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",61 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"75,600 OMR",حصريااا مخازن وورش بمواصفات عالية وبتملك صناعي في اكبر مدينة صناعية متكاملة مع عبدالعزيز,"Muscat, Rusail",حصريااا مخازن وورش بمواصفات عالية وبتملك صناعي في اكبر مدينة صناعية متكاملة مع عبدالعزيز
"53,000 OMR",271 m2 More than 6 bedrooms Townhouse for Sale in Muscat Amerat,"Muscat, Amerat",271 m2 More than 6 bedrooms Townhouse for Sale in Muscat Amerat
"160,000 OMR",650 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",650 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah
"26,000 OMR",64 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",64 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"355,000 OMR",villa in almouj muscat for sale ...ویلا للبیع فی الموج مسقط,"Muscat, Al Mouj",villa in almouj muscat for sale ...ویلا للبیع فی الموج مسقط
"75,600 OMR",حصريااا مخازن وورش بمواصفات عالية وبتملك صناعي بأكبر مدينة صناعية متكاملة في السلطنة,"Muscat, Al Jafnayn",حصريااا مخازن وورش بمواصفات عالية وبتملك صناعي بأكبر مدينة صناعية متكاملة في السلطنة
"30,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"470,000 OMR",500 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",500 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mouj
"125,000 OMR",Commercial Land for Sale in Muscat Bosher,"Muscat, Bosher",Commercial Land for Sale in Muscat Bosher
"8,000,000 OMR","Инвecтиpyйтe в кpyпнeйший кoммepчecкий пpoeкт Myдж Macкaт., Mouj Muscat","Muscat, Al Mouj","Инвecтиpyйтe в кpyпнeйший кoммepчecкий пpoeкт Myдж Macкaт., Mouj Muscat"
"75,600 OMR",لأول مرة مخازن وورش بملكية صناعية في اكبر مدينة صناعية متكاملة في السلطنة مع عبدالعزيز,"Muscat, Ansab",لأول مرة مخازن وورش بملكية صناعية في اكبر مدينة صناعية متكاملة في السلطنة مع عبدالعزيز
"110,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"9,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"29,000 OMR",76 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",76 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"70,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"134,583 OMR",Golden investment ا Apartment for sale ا GOLF view اGolden Investment ا Apartment для пpoдaжи ا,"Muscat, Al Mouj",Golden investment ا Apartment for sale ا GOLF view اGolden Investment ا Apartment для пpoдaжи ا
"134,583 OMR",83 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",83 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"355,000 OMR",392 m2 4 Bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",392 m2 4 Bedrooms Villa for Sale in Muscat Al Mouj
"75,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
